epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
47,0.06899744521082496,0.06928012163969433,0.6244300603866577,0.0009530913645380232,0.15730776,0.15795231,0.35943356,0.08694122,0.087257594,0.2011432,0.01814639,0.018248266,0.036528632,0.01359431,0.013662311,0.027324641
48,0.06899539926926611,0.06922941688812717,0.6232925057411194,0.0009508139575263522,0.15731545,0.15775737,0.35848698,0.08693087,0.087214455,0.20088567,0.018140119,0.01825371,0.036535256,0.013595234,0.013692158,0.027384566
49,0.06899180592155213,0.06925388591583534,0.6220658421516418,0.0009484854236733265,0.15729488,0.15786493,0.35858852,0.08694978,0.0873,0.19976124,0.01813975,0.018216772,0.036448494,0.013582873,0.0136338025,0.02726761
50,0.06899014315709794,0.06926480550391116,0.6253151893615723,0.0009461060270581274,0.15731806,0.15786484,0.36117664,0.08691681,0.08738878,0.2005106,0.018138936,0.018223418,0.036463507,0.013586868,0.013582214,0.027164433
51,0.06898324728788376,0.06924830199468188,0.6225796937942505,0.0009436760375282858,0.15729822,0.15787777,0.35805997,0.08691418,0.08716786,0.20060256,0.018141696,0.018250883,0.03652343,0.013579058,0.013696675,0.027393725
52,0.06899787823880384,0.06928461957507455,0.6222659349441528,0.0009411957306690783,0.15733199,0.15793496,0.35880193,0.086932644,0.08719742,0.19943912,0.018136699,0.018242707,0.03649808,0.013590148,0.013763385,0.027526777
53,0.06898491684224016,0.0692504604057516,0.6255232691764832,0.0009386653877722733,0.15728652,0.15786815,0.36085266,0.08692783,0.08721112,0.20080017,0.018143171,0.018235248,0.036495686,0.013582108,0.013687323,0.027374724
54,0.06898003597547092,0.06922675379816885,0.625289797782898,0.0009360852958042294,0.15729375,0.15788841,0.3610986,0.086907975,0.0871847,0.2005041,0.018136656,0.018204842,0.036428936,0.013581644,0.01362906,0.027258158
55,0.06897857262169567,0.06920280369770401,0.6241454482078552,0.0009334557473733511,0.15728407,0.15784217,0.360771,0.086910084,0.08715044,0.19971992,0.018136341,0.018228639,0.036474574,0.013583724,0.013589967,0.027179945
56,0.06898264225114126,0.06937280845285043,0.6225340366363525,0.000930777040696903,0.15729561,0.15801269,0.3597916,0.086926565,0.08740421,0.1985821,0.018131401,0.018368904,0.036749486,0.013577132,0.013705421,0.027410869
57,0.0689715394752285,0.06923871186032848,0.6224559545516968,0.0009280494795671906,0.15730064,0.15783569,0.35746622,0.08688819,0.08727521,0.20127684,0.01812869,0.018221814,0.0364686,0.013568633,0.0136220995,0.02724426
58,0.06896118676195018,0.06922487214455736,0.625028669834137,0.0009252733733171055,0.15726641,0.15779339,0.35990173,0.08688761,0.08727397,0.2014405,0.018120224,0.018226136,0.036474433,0.013570575,0.013606002,0.027212003
59,0.06896038530423208,0.06936754894640702,0.6241305470466614,0.0009224490367850448,0.15724072,0.15786296,0.3574624,0.086901166,0.08727881,0.20199002,0.018126909,0.018465871,0.036953088,0.013572706,0.013862527,0.027725058
60,0.06896533450764254,0.06925184478543105,0.6266202926635742,0.0009195767902792054,0.15726043,0.15782149,0.3613246,0.086907886,0.0872838,0.20146357,0.01812511,0.018231105,0.036490113,0.013567808,0.013670967,0.027341956
61,0.06895677965381507,0.069295364947829,0.6192259788513184,0.0009166569595412575,0.15723541,0.15779707,0.35739568,0.08688914,0.08745287,0.197941,0.018130083,0.018263055,0.03655214,0.01357247,0.013668447,0.02733714
62,0.06895850564562647,0.06926211745481303,0.6248477697372437,0.0009136898757094021,0.15725242,0.15785642,0.36050504,0.08688973,0.08723954,0.20041981,0.01812743,0.0182302,0.03647823,0.013564428,0.013722325,0.02744468
63,0.06895953952169397,0.06927734819347467,0.6247069239616394,0.0009106758752808169,0.15726016,0.1578953,0.36141264,0.08688309,0.08737909,0.19961236,0.018123006,0.018191943,0.036395803,0.013571742,0.013643065,0.027286133
64,0.06895258274768878,0.06941847644971527,0.6244294047355652,0.0009076153000734937,0.1572307,0.15834442,0.36154905,0.08688428,0.087412536,0.19903131,0.018127482,0.01827275,0.03656074,0.013567928,0.013644147,0.027288327
65,0.06894891649322597,0.06930438765379782,0.6260133385658264,0.0009045084971874737,0.15724374,0.15819225,0.36179358,0.086874925,0.08720807,0.20057483,0.01811635,0.018228471,0.0364674,0.013560583,0.013588766,0.027177546
66,0.06894813054417903,0.06923226665952753,0.6261960864067078,0.0009013558189654818,0.15723531,0.15782337,0.36032972,0.08687859,0.08720295,0.20202896,0.01811648,0.018245984,0.0365236,0.013562222,0.013656767,0.027313815
67,0.06895673182858547,0.06920612606508965,0.6247579455375671,0.000898157622952968,0.15725811,0.15780675,0.35915485,0.08687823,0.08721765,0.20198563,0.018120805,0.018202499,0.036422238,0.013569821,0.0135975685,0.0271952
68,0.06894179062800337,0.06926162737592562,0.6241233348846436,0.0008949142718575581,0.15722005,0.15783484,0.35920718,0.08686538,0.087371916,0.20121758,0.01812114,0.018224401,0.03646793,0.013560583,0.013615309,0.027230661
69,0.06894138081036658,0.06925837580897092,0.6239545941352844,0.0008916261335079183,0.15721314,0.1579878,0.35901624,0.08688058,0.08718545,0.20119587,0.018113254,0.018221423,0.036464565,0.013558534,0.01363883,0.02727788
70,0.06894239854635559,0.06926990719651124,0.619128942489624,0.0008882935808120413,0.15723185,0.15801688,0.35640794,0.086858824,0.087240435,0.19906302,0.018117104,0.01824233,0.036498036,0.013561912,0.013579987,0.027159976
